order_id,payment_id,amount
4617000165572608,5000,10203.0
4878437089804288,50002,17970.0
5124727694426112,1000,6990.0
5246704765632512,50004,16280.0
5308026161201152,1000,12880.0
5510147204710400,1000,11980.0
5564119508582400,1000,9980.0
5717823956189184,50004,15870.0
6042222383071232,3000,6290.0
6202805556346880,5000,10980.0
6343523599908864,9001,7190.0
6593742673543168,5000,30636.0
4627544629051392,1000,12770.0
4732111312125952,5000,19470.0
5112387716513792,5000,15203.0
5491392810582016,1000,21970.0
5648709409570816,5000,5990.0
5704868808097792,5000,13800.0
5902123100012544,3000,10580.0
5978795497226240,1000,4290.0
6415714802728960,3000,12590.0
6444995809378304,5000,21683.0
6487029815443456,5000,20693.0
6532973667811328,3000,6290.0
6557476405903360,5000,22893.0
6541977580208128,1000,41970.0
4857351249854464,5000,15803.0
5152678771163136,3000,19280.0
5154862225162240,5000,10980.0
5189691255816192,3000,11990.0
5192826414170112,5000,13193.0
5660886950477824,5000,18260.0
5725679887581184,5013,4210.0
5765246669815808,3000,10580.0
5877698040430592,5000,15423.0
6110641061101568,5012,4990.0
6325079886266368,5012,29950.0
6382166578298880,5012,13280.0
6602810389692416,5000,20255.0
6675657933979648,5012,12990.0
6720079606317056,5012,11980.0
4620583627915264,5012,14190.0
4797288850128896,1000,20870.0
4966496770719744,1000,5290.0
5128527800958976,50002,39350.0
5134521931137024,50002,12990.0
5364380393537536,1000,10580.0
5858412899074048,5012,6890.0
5868806317277184,1000,4490.0
6105910590832640,3000,4490.0
6208411394637824,5000,15467.0
6266829526532096,3000,5490.0
6299741961584640,1000,5490.0
6319888612982784,5012,4990.0
6338444280987648,1000,15970.0
6366517462302720,5000,30693.0
6713569006321664,1000,27860.0
4620205234585600,50004,10280.0
4739959022682112,50002,5990.0
4749426573443072,5012,42930.0
4749728294895616,1000,5490.0
5372787255148544,3000,2990.0
5555434900160512,3000,4490.0
5557361528537088,1000,6290.0
5585769448865792,50004,17970.0
5716474900250624,5012,11980.0
5749233488232448,5013,9410.0
5882171718631424,50004,41960.0
6259453725507584,5012,5990.0
6262691929522176,3000,8980.0
6444193959116800,3000,9780.0
4638600881504256,5000,13545.0
4645992218230784,5012,12980.0
5477233612029952,5000,15203.0
6219754571038720,5012,12980.0
6668639957417984,5012,20270.0
6676774088605696,5012,13990.0
4805601457340416,5015,21880.0
5318662781927424,3000,8980.0
5318801059741696,5015,13480.0
5663004772007936,3000,16870.0
5704392083505152,3000,12560.0
5741013524807680,5015,5190.0
5820764222390272,1000,7490.0
6015664570236928,5012,7490.0
6020180761903104,1000,4490.0
6250510932508672,3000,4290.0
6268149490778112,50004,15770.0
6541855509184512,5012,5990.0
6574305060847616,3000,4490.0
4526541795753984,1000,6290.0
4786290009309184,5103,36040.0
4913386144661504,3000,17480.0
5037276556689408,3000,4490.0
5054689293631488,5012,20970.0
5213182109679616,5103,9280.0
5228303548678144,1000,8980.0
5257228408586240,5000,12193.0
5279432013774848,1000,8980.0
5331856753688576,5000,28053.0
5365521378443264,5012,28470.0
5372072008876032,3000,3990.0
5561647973007360,5012,13990.0
5630232091164672,1000,8980.0
5720563843334144,3000,6290.0
5956360299347968,50004,18970.0
6116204687917056,5000,14693.0
6205456994009088,5015,14980.0
6373059536355328,5015,5890.0
6578809911115776,5015,5990.0
6623504951410688,5012,4490.0
4513009024892928,5015,6290.0
4592020451229696,5103,11280.0
4623185606344704,3000,11990.0
4650628031447040,5012,17970.0
4657877936242688,5015,11322.0
4850468705271808,5012,10980.0
5082041457311744,3000,4490.0
5217958851510272,5015,13280.0
5249312253280256,1000,4490.0
5267117033914368,5103,15270.0
5279301654806528,50002,4990.0
5293560073814016,3000,18280.0
5400707428253696,5015,13780.0
5415344676798464,5103,13270.0
5477642036576256,5000,13087.0
5597287812956160,5000,26586.0
5861565941940224,3000,12990.0
5874137445433344,5012,17970.0
5877812997914624,5015,6290.0
5885809226678272,5015,19070.0
5948097117814784,1000,9280.0
5973528760025088,5103,11180.0
6030656187138048,3000,4290.0
6141768876425216,5000,36153.0
6186417873747968,5015,19280.0
6192568199806976,5015,19570.0
6195376772874240,3000,5290.0
6212798166859776,1000,12580.0
6238614141534208,5012,14980.0
6252599293247488,5000,12193.0
6348325524340736,5015,10280.0
6410251503665152,3000,4490.0
6438527756402688,5015,20270.0
6467021240532992,5012,13580.0
6504515633938432,5015,18812.0
6507685990891520,3000,5290.0
6656512848822272,3000,13270.0
6673729426554880,5103,15970.0
6718601231597568,5015,26760.0
4531461076811776,5013,4110.0
4696194547449856,3000,12580.0
4776083355074560,5000,1900.0
4793824657014784,5000,12193.0
4928795212251136,5015,10580.0
5132428134580224,5015,6290.0
5138819045916672,5103,9280.0
5164838836502528,5015,14980.0
5235360045727744,5103,10980.0
5252767682396160,5015,21270.0
5266489431818240,3000,8280.0
5324295195328512,5000,4490.0
5329469758504960,5015,20012.0
5365712034725888,5015,19770.0
5366285211533312,50002,5990.0
5387352361664512,5000,11990.0
5443983048966144,5103,6290.0
5477709447430144,5015,7190.0
5535823207071744,5012,11980.0
5578811132084224,5103,7580.0
5607417157779456,5015,7490.0
5779502740013056,3000,5290.0
5935610976796672,3000,5290.0
5955568280535040,5012,19980.0
5990047204245504,5012,12480.0
6044722809012224,5015,10522.0
6062281306406912,1000,4300.0
6143104000983040,5103,6290.0
6156169096462336,5000,17615.0
6208474879623168,5015,7490.0
6269312225247232,50002,8480.0
6404339816726528,5000,5390.0
6541107144687616,5012,5391.0
6598017004863488,5015,13980.0
6601969985388544,5015,19270.0
4677539625435136,5015,7190.0
4690873955385344,5103,9580.0
4868339185483776,5015,20970.0
5000475263631360,3000,10780.0
5007533304184832,5000,13193.0
5090204780855296,5000,13404.0
5177187398057984,9001,14870.0
5699270066569216,5015,19770.0
5811718618611712,5015,10280.0
5829507574136832,5012,9980.0
5937114014023680,5015,11980.0
5951170234023936,5015,14480.0
6249845514567680,5015,7490.0
6325064121974784,5015,17180.0
6388371799408640,5012,11980.0
6539427879583744,5015,7990.0
6694007980425216,5015,32592.0
6708521077571584,5000,19244.0
6709738432364544,5015,13780.0
4580320624771072,5000,22193.0
4845905094901760,5012,4792.0
4850058261168128,5015,6190.0
4870094350712832,5000,15247.0
5296030216880128,5012,4990.0
5444515222257664,5015,12990.0
5608842046734336,5012,6890.0
5656502862610432,3000,8980.0
5981806504181760,3000,6290.0
6087359620448256,5015,11880.0
6165696065830912,5103,10580.0
6196736398458880,5015,20470.0
6313292690358272,5000,4290.0
6567543071047680,5103,7580.0
6657615246131200,5015,6290.0
6714926316650496,1000,4490.0
4731469113851904,3000,6290.0
4865683090046976,1000,20000.0
5039627245977600,5015,6290.0
5055254618701824,5015,27260.0
5191303613382656,5103,11890.0
5265493005697024,5103,9580.0
5374398002102272,50002,15470.0
5699201487601664,5103,15870.0
5762995704299520,3000,23270.0
5785289671573504,5015,5290.0
6234182473482240,5103,24260.0
6680584194359296,3000,5990.0
4642016286474240,5012,4790.0
4680503964467200,5000,21693.0
4907585254457344,5015,9290.0
5094704161751040,5012,10290.0
5103701587656704,5103,22960.0
5176200897757184,5103,10580.0
5187216683565056,1000,10000.0
5213762332917760,3000,10280.0
5221865493364736,1000,6000.0
5264526094893056,5015,13280.0
5443270292013056,5000,10203.0
5704187535687680,5015,7190.0
6174256539631616,5012,9990.0
6347171855859712,5012,11490.0
6486476704186368,3000,10280.0
6522752601948160,5015,12990.0
6561187962290176,5000,5490.0
6577591147036672,3000,4490.0
6708720189571072,3000,4490.0
6726420085342208,5015,13780.0
4554075556020224,5012,22470.0
4610640812179456,5015,13780.0
4739620699635712,5012,11880.0
4887772570320896,5015,11980.0
4902261575385088,50002,4490.0
4906781558702080,5000,28460.0
5125174069035008,5103,21070.0
5190063575793664,5103,7780.0
5224282257620992,5013,3710.0
5269404506652672,5103,6290.0
5363987739574272,5012,4990.0
5415317497708544,5012,16970.0
5430931314442240,5015,7990.0
5450484494893056,5015,12780.0
5462684477423616,5012,13990.0
5533604856463360,3000,4490.0
5534013287301120,5012,4792.0
5558345350774784,5103,8490.0
5567139961110528,3000,6280.0
5640231982989312,5015,7490.0
5733277550510080,3000,5290.0
5890414236925952,5015,21480.0
5948695393337344,5015,33450.0
