Fecha;Dia semana;Monto total;Efectivo;Tarjeta Credito;Tarjeta Debito;Web Pay;PedidosYa;PedidosYa Vouchers;Rappi;UberEats;Mercat;Transferencia;PedidosYa Efectivo;Uber eats
miércoles, 17 de agosto de 2022;Wednesday;496540;20000;0;193970;0;49000;0;8590;181030;43950;0;0;0
jueves, 18 de agosto de 2022;Thursday;968566;118988;43505;480033;0;58350;0;10990;152910;67230;0;36560;0
viernes, 19 de agosto de 2022;Friday;2454104;212604;98109;992915;0;181780;0;148950;369632;109080;301774;39260;0
sábado, 20 de agosto de 2022;Saturday;3786084;326094;317157;1612365;0;255340;0;103890;674412;473746;0;23080;0
domingo, 21 de agosto de 2022;Sunday;1081298;151046;0;598988;0;19180;0;62340;198833;50911;0;0;0
lunes, 22 de agosto de 2022;Monday;579886;60398;13929;373389;0;7590;0;10290;106000;0;0;8290;0
martes, 23 de agosto de 2022;Tuesday;813210;86712;50193;458451;0;49610;0;42750;112201;0;13293;0;0
miércoles, 24 de agosto de 2022;Wednesday;879181;166741;125763;317477;0;28470;0;80120;104220;46940;0;9450;0
jueves, 25 de agosto de 2022;Thursday;1407717;228164;93561;620879;0;62050;0;47410;218261;38260;68662;30470;0
viernes, 26 de agosto de 2022;Friday;2488943;111993;289125;1102197;0;188260;0;120410;409601;105130;162227;0;0
sábado, 27 de agosto de 2022;Saturday;2055169;211683;188801;1069688;0;79430;0;125880;289561;70646;0;19480;0
domingo, 28 de agosto de 2022;Sunday;1398950;233091;131271;788728;0;61540;0;58940;99610;17480;0;8290;0
lunes, 29 de agosto de 2022;Monday;600981;155918;59933;143570;0;59230;0;36960;85430;59940;0;0;0
martes, 30 de agosto de 2022;Tuesday;1101364;118006;127666;570212;0;64420;0;22480;146130;16980;0;35470;0
miércoles, 31 de agosto de 2022;Wednesday;1092683;135049;0;804344;0;34720;0;54440;32960;31170;0;0;0
jueves, 1 de septiembre de 2022;Thursday;1603870;125143;205463;969854;0;108730;0;58040;136640;0;0;0;0
viernes, 2 de septiembre de 2022;Friday;2931327;287291;45625;1759521;0;179330;0;100610;435772;102998;7290;12890;0
sábado, 3 de septiembre de 2022;Saturday;2539091;172507;326744;1219767;0;254190;5300;134340;337723;42560;0;45960;0
domingo, 4 de septiembre de 2022;Sunday;915072;36200;0;22470;0;193420;0;192380;294482;87910;0;88210;0
